,Point,Latitude,Longitude,nom,code_pra
0,14554,48.7292,7.0675,Plateau Lorrain Nord,57473
12,14696,48.8053,6.9654,Plateau Lorrain Nord,57473
24,14698,48.7966,7.1827,Plateau Lorrain Nord,57473
36,14838,48.8813,6.863,Plateau Lorrain Nord,57473
48,14839,48.8771,6.9719,Plateau Lorrain Nord,57473
60,14979,48.9611,6.6513,Plateau Lorrain Nord,57473
72,14980,48.9571,6.7603,Plateau Lorrain Nord,57473
84,14981,48.953,6.8693,Plateau Lorrain Nord,57473
96,14982,48.9489,6.9783,Plateau Lorrain Nord,57473
108,15121,49.0368,6.5481,Plateau Lorrain Nord,57473
120,15122,49.0329,6.6573,Plateau Lorrain Nord,57473
132,15123,49.0289,6.7665,Plateau Lorrain Nord,57473
144,15124,49.0248,6.8756,Plateau Lorrain Nord,57473
156,15125,49.0206,6.9847,Plateau Lorrain Nord,57473
168,15127,49.0119,7.2029,Plateau Lorrain Nord,57473
180,15128,49.0074,7.312,Plateau Lorrain Nord,57473
192,15264,49.1086,6.554,Plateau Lorrain Nord,57473
204,15266,49.1007,6.7726,Plateau Lorrain Nord,57473
216,15267,49.0966,6.8819,Plateau Lorrain Nord,57473
228,15268,49.0924,6.9912,Plateau Lorrain Nord,57473
240,15269,49.0881,7.1005,Plateau Lorrain Nord,57473
252,15270,49.0837,7.2097,Plateau Lorrain Nord,57473
264,15271,49.0792,7.3189,Plateau Lorrain Nord,57473
276,15406,49.1842,6.4504,Plateau Lorrain Nord,57473
288,15407,49.1804,6.5599,Plateau Lorrain Nord,57473
300,15411,49.1641,6.9977,Plateau Lorrain Nord,57473
312,15549,49.256,6.4561,Plateau Lorrain Nord,57473
324,15550,49.2521,6.5658,Plateau Lorrain Nord,57473
336,15690,49.3351,6.2422,Plateau Lorrain Nord,57473
348,15691,49.3315,6.3521,Plateau Lorrain Nord,57473
360,15692,49.3277,6.4619,Plateau Lorrain Nord,57473
372,15832,49.4104,6.1377,Plateau Lorrain Nord,57473
384,15833,49.4069,6.2477,Plateau Lorrain Nord,57473
396,15834,49.4032,6.3577,Plateau Lorrain Nord,57473
408,15835,49.3995,6.4677,Plateau Lorrain Nord,57473
420,15975,49.4822,6.143,Plateau Lorrain Nord,57473
432,15976,49.4786,6.2532,Plateau Lorrain Nord,57473
1332,12406,47.6645,6.6525,Region Vosgienne de Haute Saone,70006
1344,12407,47.6605,6.7588,Region Vosgienne de Haute Saone,70006
1356,12548,47.7402,6.5518,Region Vosgienne de Haute Saone,70006
1368,12549,47.7363,6.6583,Region Vosgienne de Haute Saone,70006
1380,12691,47.8121,6.5576,Region Vosgienne de Haute Saone,70006
1512,12692,47.8081,6.6642,Montagne Vosgienne,70307
1524,12693,47.8041,6.7708,Montagne Vosgienne,70307
1536,12834,47.8839,6.5633,Montagne Vosgienne,70307
1548,12835,47.88,6.6701,Montagne Vosgienne,70307
1656,14094,48.5999,3.6919,Champagne Crayeuse,51317
1668,14095,48.5986,3.8003,Champagne Crayeuse,51317
1680,14101,48.5888,4.4506,Champagne Crayeuse,51317
1692,14238,48.6705,3.8023,Champagne Crayeuse,51317
1704,14239,48.6691,3.9109,Champagne Crayeuse,51317
1716,14240,48.6677,4.0194,Champagne Crayeuse,51317
1728,14243,48.6626,4.345,Champagne Crayeuse,51317
1740,14244,48.6607,4.4535,Champagne Crayeuse,51317
1752,14245,48.6587,4.562,Champagne Crayeuse,51317
1764,14381,48.7424,3.8043,Champagne Crayeuse,51317
1776,14382,48.741,3.913,Champagne Crayeuse,51317
1788,14383,48.7395,4.0217,Champagne Crayeuse,51317
1800,14384,48.738,4.1304,Champagne Crayeuse,51317
1812,14385,48.7363,4.2391,Champagne Crayeuse,51317
1824,14386,48.7345,4.3478,Champagne Crayeuse,51317
1836,14387,48.7326,4.4564,Champagne Crayeuse,51317
1848,14388,48.7306,4.5651,Champagne Crayeuse,51317
1860,14524,48.8143,3.8064,Champagne Crayeuse,51317
1872,14525,48.8129,3.9152,Champagne Crayeuse,51317
1884,14526,48.8114,4.0241,Champagne Crayeuse,51317
1896,14527,48.8098,4.1329,Champagne Crayeuse,51317
1908,14528,48.8081,4.2417,Champagne Crayeuse,51317
1920,14529,48.8064,4.3506,Champagne Crayeuse,51317
1932,14531,48.8025,4.5682,Champagne Crayeuse,51317
1944,14532,48.8004,4.677,Champagne Crayeuse,51317
1956,14668,48.8848,3.9174,Champagne Crayeuse,51317
1968,14670,48.8817,4.1354,Champagne Crayeuse,51317
1980,14671,48.88,4.2444,Champagne Crayeuse,51317
1992,14672,48.8782,4.3533,Champagne Crayeuse,51317
2004,14674,48.8743,4.5713,Champagne Crayeuse,51317
2016,14675,48.8722,4.6802,Champagne Crayeuse,51317
2028,14811,48.9567,3.9196,Champagne Crayeuse,51317
2040,14813,48.9536,4.1379,Champagne Crayeuse,51317
2052,14814,48.9519,4.247,Champagne Crayeuse,51317
2064,14816,48.9482,4.4653,Champagne Crayeuse,51317
2076,14817,48.9462,4.5744,Champagne Crayeuse,51317
2088,14818,48.9441,4.6835,Champagne Crayeuse,51317
2100,14958,49.022,4.3589,Champagne Crayeuse,51317
2112,14959,49.0201,4.4682,Champagne Crayeuse,51317
2124,14960,49.0181,4.5775,Champagne Crayeuse,51317
2136,14961,49.016,4.6867,Champagne Crayeuse,51317
2148,15100,49.0956,4.2523,Champagne Crayeuse,51317
2160,15101,49.0938,4.3618,Champagne Crayeuse,51317
2172,15102,49.0919,4.4712,Champagne Crayeuse,51317
2184,15103,49.0899,4.5806,Champagne Crayeuse,51317
2196,15104,49.0878,4.69,Champagne Crayeuse,51317
2208,15105,49.0856,4.7994,Champagne Crayeuse,51317
2220,15243,49.1675,4.255,Champagne Crayeuse,51317
2232,15244,49.1657,4.3646,Champagne Crayeuse,51317
2244,15245,49.1638,4.4742,Champagne Crayeuse,51317
2256,15246,49.1618,4.5837,Champagne Crayeuse,51317
2268,15385,49.2411,4.1479,Champagne Crayeuse,51317
2280,15386,49.2394,4.2577,Champagne Crayeuse,51317
2292,15387,49.2375,4.3674,Champagne Crayeuse,51317
2304,15388,49.2356,4.4771,Champagne Crayeuse,51317
2316,15389,49.2336,4.5869,Champagne Crayeuse,51317
2328,15528,49.3129,4.1505,Champagne Crayeuse,51317
2340,15529,49.3112,4.2604,Champagne Crayeuse,51317
3744,14224,48.6796,2.2822,Ceinture de Paris,91333
3756,14225,48.6796,2.3908,Ceinture de Paris,91333
3768,14226,48.6795,2.4994,Ceinture de Paris,91333
3852,12699,47.778,7.4103,Plaine du Rhin,68301
3864,12841,47.8544,7.3105,Plaine du Rhin,68301
3876,12842,47.8498,7.4172,Plaine du Rhin,68301
3888,12984,47.9262,7.3173,Plaine du Rhin,68301
3900,13128,47.9934,7.431,Plaine du Rhin,68301
3912,13270,48.0698,7.3309,Plaine du Rhin,68301
3924,13271,48.0652,7.438,Plaine du Rhin,68301
