,Point,Lat,Long,Temp_score,Pluv_score,Total_score
0,282,41.4087,9.1577,0.5558726944444445,0.0,0.0
1,423,41.4925,8.9759,0.5684510000000003,0.0,0.0
2,424,41.4864,9.071,0.5974194444444446,0.0,0.0
3,425,41.4802,9.166,0.4531937407407407,0.0,0.0
4,426,41.4739,9.261,0.6052583333333333,0.0,0.0
5,564,41.5759,8.7935,0.6155912500000001,0.0,0.0
6,565,41.57,8.8888,0.5140500000000002,0.045700000000000296,0.023492085000000162
7,566,41.564,8.984,0.43145555555555554,0.08386666666666676,0.036184739259259295
8,567,41.5579,9.0791,0.10997714981250004,0.4828000000000001,0.053096967929475034
9,568,41.5517,9.1743,0.42714994444444443,0.0,0.0
10,569,41.5454,9.2694,0.589393777777778,0.0,0.0
11,707,41.6474,8.8014,0.6354727500000003,0.0,0.0
12,708,41.6415,8.8967,0.4738944444444445,0.06980000000000008,0.03307783222222227
13,709,41.6355,8.992,0.4224166666666667,0.09780000000000011,0.04131235000000005
14,710,41.6294,9.0873,0.17730748262500007,0.47226666666666683,0.08373641379436673
15,711,41.6232,9.1826,0.15604803866666675,0.4821333333333333,0.07523596104248892
16,712,41.6169,9.2779,0.6787444444444445,0.0,0.0
17,849,41.7248,8.7138,0.6479550000000001,0.0,0.0
18,850,41.719,8.8093,0.6404562962962963,0.0,0.0
19,851,41.713,8.9047,0.4078638888888889,0.09333333333333349,0.03806729629629636
20,852,41.707,9.0001,0.29144533333333333,0.3990666666666669,0.11630611768888896
21,853,41.7009,9.0955,0.18370357620370387,0.4674999999999998,0.08588142187523153
22,854,41.6946,9.1909,0.04671177394074072,0.3773000000000002,0.01762435230784148
23,855,41.6884,9.2863,0.3519220462962964,0.36570000000000014,0.12869789233055565
24,856,41.682,9.3817,0.7335416666666668,0.0,0.0
25,993,41.7905,8.8171,0.3263645833333335,0.1308666666666667,0.04271024513888892
26,994,41.7845,8.9127,0.4384111111111114,0.3067,0.13446068777777787
27,995,41.7785,9.0083,0.04532358781757814,0.3689,0.016719871545904576
28,996,41.7724,9.1038,0.006821520300000008,0.6295999999999999,0.0042948291808800046
29,997,41.7661,9.1993,0.0014260409625000007,0.6543333333333334,0.0009331061364625005
30,998,41.7598,9.2948,0.0712244833333334,0.7648000000000004,0.054472484853333406
31,1136,41.862,8.8251,0.4425666666666668,0.08990000000000009,0.03978674333333338
32,1137,41.856,8.9207,0.1443053958333334,0.47920000000000007,0.06915114568333337
33,1138,41.85,9.0164,0.21527792592592604,0.4517000000000002,0.09724103914074084
34,1139,41.8439,9.112,0.0038386243875000057,0.6132333333333333,0.0023539724285612535
35,1140,41.8376,9.2077,0.46101766666666705,0.6681666666666666,0.30803663761111133
36,1141,41.8313,9.3033,0.20031722222222226,0.46040000000000036,0.0922260491111112
