,Point,Lat,Long,Temp_score,Pluv_score,Total_score
0,282,41.4087,9.1577,0.9945454545454548,0.0,0.0
1,423,41.4925,8.9759,1.0,0.0,0.0
2,424,41.4864,9.071,1.0,0.0,0.0
3,425,41.4802,9.166,0.9645454545454546,0.0,0.0
4,426,41.4739,9.261,1.0,0.0,0.0
5,564,41.5759,8.7935,1.0,0.0,0.0
6,565,41.57,8.8888,0.9700000000000002,0.0,0.0
7,566,41.564,8.984,0.9400000000000002,0.0,0.0
8,567,41.5579,9.0791,0.8127272727272727,0.0,0.0
9,568,41.5517,9.1743,0.9563636363636363,0.0,0.0
10,569,41.5454,9.2694,1.0,0.0,0.0
11,707,41.6474,8.8014,1.0,0.0,0.0
12,708,41.6415,8.8967,0.9572727272727275,0.0,0.0
13,709,41.6355,8.992,0.9381818181818182,0.0,0.0
14,710,41.6294,9.0873,0.8300000000000001,0.0,0.0
15,711,41.6232,9.1826,0.822727272727273,0.0,0.0
16,712,41.6169,9.2779,1.0,0.0,0.0
17,849,41.7248,8.7138,1.0,0.0,0.0
18,850,41.719,8.8093,1.0,0.0,0.0
19,851,41.713,8.9047,0.9327272727272728,0.0,0.0
20,852,41.707,9.0001,0.8863636363636365,0.0,0.0
21,853,41.7009,9.0955,0.8327272727272728,0.0,0.0
22,854,41.6946,9.1909,0.7012264462809918,0.0,0.0
23,855,41.6884,9.2863,0.9081818181818182,0.0,0.0
24,856,41.682,9.3817,1.0,0.0,0.0
25,993,41.7905,8.8171,0.8990909090909092,0.0,0.0
26,994,41.7845,8.9127,0.9518181818181819,0.0,0.0
27,995,41.7785,9.0083,0.6918181818181819,0.0,0.0
28,996,41.7724,9.1038,0.6202297520661157,0.0,0.0
29,997,41.7661,9.1993,0.5759861066867019,0.0,0.0
30,998,41.7598,9.2948,0.8200000000000001,0.0,0.0
31,1136,41.862,8.8251,0.9481818181818182,0.0,0.0
32,1137,41.856,8.9207,0.8263636363636364,0.0,0.0
33,1138,41.85,9.0164,0.8509090909090908,0.0,0.0
34,1139,41.8439,9.112,0.31511312396694224,0.0,0.0
35,1140,41.8376,9.2077,0.1365926423604945,1.0,0.1365926423604945
36,1141,41.8313,9.3033,0.8545454545454547,0.0,0.0
37,1277,41.9452,8.6413,0.9690909090909092,0.0,0.0
38,1278,41.9394,8.7372,0.9736363636363639,0.0,0.0
39,1279,41.9335,8.833,0.9863636363636366,0.0,0.0
40,1280,41.9276,8.9288,0.8445454545454545,0.0,0.0
41,1281,41.9215,9.0246,0.5452609361382419,0.0,0.0
42,1282,41.9154,9.1203,0.6872727272727275,0.0,0.0
43,1283,41.9091,9.216,0.23437051840721274,0.0,0.0
44,1284,41.9028,9.3118,0.8490909090909091,0.0,0.0
45,1421,42.011,8.745,0.9381818181818182,0.0,0.0
46,1422,42.0051,8.8409,0.9263636363636365,0.0,0.0
47,1423,41.9991,8.9368,0.7272727272727273,0.0,0.0
48,1424,41.993,9.0327,0.5539925108940649,0.0,0.0
49,1425,41.9869,9.1286,0.20084999774605572,0.07429999999999914,0.014923154832531768
50,1426,41.9806,9.2245,0.27511600300525935,0.0,0.0
51,1427,41.9743,9.3203,0.8700000000000001,0.0,0.0
52,1563,42.0883,8.6568,1.0,0.0,0.0
53,1564,42.0825,8.7528,0.980909090909091,0.0,0.0
54,1565,42.0766,8.8489,0.8427272727272728,0.0,0.0
55,1566,42.0706,8.9449,0.831818181818182,0.0,0.0
56,1567,42.0646,9.0409,0.5952000000000001,0.09039999999999981,0.053806079999999895
57,1568,42.0584,9.1369,0.04997815530003296,0.0,0.0
58,1569,42.0522,9.2329,0.3199837685950416,0.0,0.0
59,1570,42.0458,9.3288,0.929090909090909,0.0,0.0
60,1571,42.0394,9.4248,1.0,0.0,0.0
61,1637,42.3488,1.9977,0.0028168472232254415,0.0,0.0
62,1642,42.3492,2.4818,0.34054699474079647,1.0,0.34054699474079647
63,1643,42.349,2.5786,0.46482764838467344,1.0,0.46482764838467344
64,1644,42.3488,2.6754,0.6827272727272728,0.9180999999999999,0.6268119090909091
65,1705,42.1656,8.5683,1.0,0.0,0.0
66,1706,42.1599,8.6645,0.9009090909090911,0.0,0.0
67,1707,42.1541,8.7607,0.8818181818181818,0.0,0.0
68,1708,42.1482,8.8569,0.7890909090909091,0.0,0.0
69,1709,42.1422,8.953,0.6845454545454546,0.0,0.0
70,1710,42.1361,9.0491,0.21008804808414733,0.0,0.0
71,1711,42.1299,9.1452,0.229507438016529,0.0,0.0
72,1712,42.1237,9.2413,0.5916132231404961,0.0,0.0
73,1713,42.1173,9.3374,0.9018181818181819,0.0,0.0
74,1714,42.1109,9.4334,1.0,0.0,0.0
75,1715,42.1044,9.5295,0.9939999999999998,0.0,0.0
76,1780,42.4206,1.9973,0.15592940711700026,0.0,0.0
77,1781,42.4208,2.0942,0.0,0.0,0.0
78,1782,42.421,2.1912,0.0,0.9132999999999996,0.0
79,1784,42.4211,2.3851,0.017483166979851108,1.0,0.017483166979851108
80,1785,42.421,2.482,0.3164487468069121,1.0,0.3164487468069121
81,1786,42.4209,2.5789,0.6645454545454548,0.9888000000000003,0.6571025454545459
82,1787,42.4206,2.6759,0.5297104583020288,1.0,0.5297104583020288
83,1788,42.4202,2.7728,0.7190909090909092,0.7469000000000001,0.5370890000000001
84,1849,42.2315,8.6723,0.8145454545454547,0.0,0.0
85,1850,42.2256,8.7686,0.7400000000000002,0.0,0.0
86,1851,42.2197,8.8649,0.5395438241923369,0.0,0.0
87,1852,42.2137,8.9611,0.13220096594494912,0.0,0.0
88,1853,42.2076,9.0574,0.02669764781699314,0.0,0.0
89,1854,42.2015,9.1536,0.44448865514650665,0.0,0.0
90,1855,42.1952,9.2498,0.8045454545454547,0.0,0.0
91,1856,42.1889,9.346,0.8827272727272728,0.0,0.0
92,1857,42.1824,9.4421,1.0,0.0,0.0
93,1918,42.4897,1.5116,0.03313306835821006,0.40859999999999985,0.013538171731164625
94,1919,42.4905,1.6087,0.0,0.1407999999999996,0.0
95,1920,42.4911,1.7057,0.0,0.3185000000000002,0.0
96,1921,42.4916,1.8028,0.0,0.0,0.0
97,1922,42.4921,1.8998,0.0045113073537083334,0.0,0.0
98,1923,42.4924,1.9969,0.04036986270209563,0.0,0.0
99,1924,42.4927,2.0939,0.016624188344492134,0.0,0.0
100,1925,42.4929,2.191,0.012415646865930555,0.0,0.0
101,1926,42.4929,2.2881,0.003197891107596581,0.0,0.0
102,1927,42.4929,2.3851,0.01554182713908559,0.01949999999999985,0.0003030656292121667
103,1928,42.4929,2.4822,2.6391844778362205e-05,0.9824999999999999,2.5929987494740864e-05
104,1929,42.4927,2.5792,0.4029840000000001,1.0,0.4029840000000001
105,1930,42.4924,2.6763,0.8172727272727274,0.4762000000000004,0.3891852727272731
106,1931,42.4921,2.7733,0.9036363636363636,0.0,0.0
107,1932,42.4916,2.8704,0.8500000000000001,0.0,0.0
108,1933,42.4911,2.9674,0.7181818181818183,0.0,0.0
109,1934,42.4905,3.0645,0.8818181818181818,0.0,0.0
110,1992,42.303,8.6801,0.95,0.0,0.0
111,1993,42.2972,8.7765,0.4893471074380166,0.0,0.0
112,1994,42.2913,8.8729,0.1274363168909229,0.0,0.0
113,1995,42.2853,8.9693,0.1346612986981764,0.0,0.0
114,1996,42.2792,9.0656,0.16934412622088665,0.0,0.0
115,1997,42.273,9.162,0.6663214876033059,0.0,0.0
116,1998,42.2667,9.2583,0.7872727272727273,0.0,0.0
117,1999,42.2604,9.3546,0.7527272727272727,0.0,0.0
118,2000,42.2539,9.4509,0.8636363636363638,0.0,0.0
119,2061,42.5616,1.5106,0.003800944791124553,0.6036000000000001,0.002294250275922781
120,2062,42.5623,1.6078,0.0,0.0,0.0
121,2063,42.5629,1.7049,0.0,0.19599999999999973,0.0
122,2064,42.5634,1.8021,0.0,0.0,0.0
123,2065,42.5639,1.8993,0.0,0.0,0.0
124,2066,42.5642,1.9965,0.0,0.0,0.0
125,2067,42.5645,2.0936,0.004884035767651247,0.0,0.0
126,2068,42.5647,2.1908,0.058694583530566585,0.0,0.0
127,2069,42.5648,2.288,0.33804265965439545,0.0,0.0
128,2070,42.5648,2.3852,0.5843515371900828,0.0,0.0
