,Point,Lat,Long,Temp_score,Pluv_score,Total_score
0,282,41.4087,9.1577,0.395216572525143,0.8387666666666667,0.33149448714833907
1,423,41.4925,8.9759,0.39648390859510846,0.833966666666667,0.3306543636380341
2,424,41.4864,9.071,0.39641081883143975,0.8185666666666669,0.32448868260145564
3,425,41.4802,9.166,0.39360788946889547,0.8870333333333331,0.3491433182218925
4,426,41.4739,9.261,0.39516947439565314,0.8172000000000001,0.3229324944761278
5,564,41.5759,8.7935,0.47345903477338286,0.9282000000000001,0.439464676076654
6,565,41.57,8.8888,0.45571584157482103,1.0,0.45571584157482103
7,566,41.564,8.984,0.4362440038010413,1.0,0.4362440038010413
8,567,41.5579,9.0791,0.3335858901388391,1.0,0.3335858901388391
9,568,41.5517,9.1743,0.39268062609208476,0.9002333333333334,0.3535041889622978
10,569,41.5454,9.2694,0.3951379210673227,0.8252666666666668,0.3260941549928259
11,707,41.6474,8.8014,0.4799161195324443,0.8921999999999999,0.42818116184684674
12,708,41.6415,8.8967,0.4470605907177513,1.0,0.4470605907177513
13,709,41.6355,8.992,0.4336980211307691,1.0,0.4336980211307691
14,710,41.6294,9.0873,0.35332692733136084,1.0,0.35332692733136084
15,711,41.6232,9.1826,0.348941726224852,1.0,0.348941726224852
16,712,41.6169,9.2779,0.3993310931733306,0.9756333333333334,0.38960072553634045
17,849,41.7248,8.7138,0.48011859045667576,0.8863333333333332,0.4255451106747669
18,850,41.719,8.8093,0.47970930115386673,0.8900333333333332,0.4269572683369798
19,851,41.713,8.9047,0.43770344072492734,1.0,0.43770344072492734
20,852,41.707,9.0001,0.3883275913846153,1.0,0.3883275913846153
21,853,41.7009,9.0955,0.35525973002218914,1.0,0.35525973002218914
22,854,41.6946,9.1909,0.22836545835526692,1.0,0.22836545835526692
23,855,41.6884,9.2863,0.37321323319989913,1.0,0.37321323319989913
24,856,41.682,9.3817,0.3970988652565447,0.9451666666666667,0.3753246108116442
25,993,41.7905,8.8171,0.4178957595739645,1.0,0.4178957595739645
26,994,41.7845,8.9127,0.41712586078329855,1.0,0.41712586078329855
27,995,41.7785,9.0083,0.22701478155206462,1.0,0.22701478155206462
28,996,41.7724,9.1038,0.1891615056645163,1.0,0.1891615056645163
29,997,41.7661,9.1993,0.17074641528555112,1.0,0.17074641528555112
30,998,41.7598,9.2948,0.32768477724882644,1.0,0.32768477724882644
31,1136,41.862,8.8251,0.4452292967163459,1.0,0.4452292967163459
32,1137,41.856,8.9207,0.3520778318017295,1.0,0.3520778318017295
33,1138,41.85,9.0164,0.37226034533609453,1.0,0.37226034533609453
34,1139,41.8439,9.112,0.07579245344378692,1.0,0.07579245344378692
35,1140,41.8376,9.2077,0.01821519715404987,1.0,0.01821519715404987
36,1141,41.8313,9.3033,0.34513871857988154,1.0,0.34513871857988154
37,1277,41.9452,8.6413,0.455417700882593,0.9739,0.4435312988895573
38,1278,41.9394,8.7372,0.45839308147694446,0.9633333333333334,0.4415853351561232
39,1279,41.9335,8.833,0.46874382535433784,0.9369666666666667,0.43919733956283613
40,1280,41.9276,8.9288,0.38554223506175,1.0,0.38554223506175
41,1281,41.9215,9.0246,0.15886816497224035,1.0,0.15886816497224035
42,1282,41.9154,9.1203,0.21706186939556388,1.0,0.21706186939556388
43,1283,41.9091,9.216,0.04631550693882349,1.0,0.04631550693882349
44,1284,41.9028,9.3118,0.3509427323769231,1.0,0.3509427323769231
45,1421,42.011,8.745,0.4356420441454224,1.0,0.4356420441454224
46,1422,42.0051,8.8409,0.43228859124406127,1.0,0.43228859124406127
47,1423,41.9991,8.9368,0.2605659859058155,1.0,0.2605659859058155
48,1424,41.993,9.0327,0.16148656292113003,1.0,0.16148656292113003
49,1425,41.9869,9.1286,0.03378478524151472,1.0,0.03378478524151472
50,1426,41.9806,9.2245,0.06026173733482932,1.0,0.06026173733482932
51,1427,41.9743,9.3203,0.36372355029585784,1.0,0.36372355029585784
52,1563,42.0883,8.6568,0.4790241524645458,0.8545333333333334,0.40934210575270324
53,1564,42.0825,8.7528,0.46519816354236077,0.9401666666666668,0.43736380675707626
54,1565,42.0766,8.8489,0.36208872002248504,1.0,0.36208872002248504
55,1566,42.0706,8.9449,0.36416369069374593,1.0,0.36416369069374593
56,1567,42.0646,9.0409,0.1783951627173271,1.0,0.1783951627173271
57,1568,42.0584,9.1369,0.004800522007997773,1.0,0.004800522007997773
58,1569,42.0522,9.2329,0.06929910388078844,1.0,0.06929910388078844
59,1570,42.0458,9.3288,0.3957280269282727,1.0,0.3957280269282727
60,1571,42.0394,9.4248,0.41354406995239795,0.9766666666666668,0.4038947083201754
61,1637,42.3488,1.9977,2.7313672970942218e-05,1.0,2.7313672970942218e-05
62,1642,42.3492,2.4818,0.09529414587024258,1.0,0.09529414587024258
63,1643,42.349,2.5786,0.1406361686215468,1.0,0.1406361686215468
64,1644,42.3488,2.6754,0.238424958504926,1.0,0.238424958504926
65,1705,42.1656,8.5683,0.4776323714887032,0.8698666666666666,0.4154764788789732
