,Point,Lat,Long,Temp_score,Pluv_score,Total_score
0,282,41.4087,9.1577,0.6940000000000002,0.0,0.0
1,423,41.4925,8.9759,0.7000000000000002,0.0,0.0
2,424,41.4864,9.071,0.7110000000000001,0.0,0.0
3,425,41.4802,9.166,0.661,0.0,0.0
4,426,41.4739,9.261,0.7090000000000001,0.0,0.0
5,564,41.5759,8.7935,0.7100000000000002,0.0,0.0
6,565,41.57,8.8888,0.6476570000000003,0.0,0.0
7,566,41.564,8.984,0.591522,0.0,0.0
8,567,41.5579,9.0791,0.36969576800000015,0.0,0.0
9,568,41.5517,9.1743,0.6520000000000001,0.0,0.0
10,569,41.5454,9.2694,0.7030000000000003,0.0,0.0
11,707,41.6474,8.8014,0.718,0.0,0.0
12,708,41.6415,8.8967,0.6242680000000002,0.0,0.0
13,709,41.6355,8.992,0.5883920000000001,0.0,0.0
14,710,41.6294,9.0873,0.4049201340000001,0.0,0.0
15,711,41.6232,9.1826,0.3918289950000002,0.0,0.0
16,712,41.6169,9.2779,0.7290000000000001,0.0,0.0
17,849,41.7248,8.7138,0.7210000000000001,0.0,0.0
18,850,41.719,8.8093,0.7190000000000003,0.0,0.0
19,851,41.713,8.9047,0.5853100000000004,0.0,0.0
20,852,41.707,9.0001,0.5151476750000004,0.0,0.0
21,853,41.7009,9.0955,0.4091260800000002,0.0,0.0
22,854,41.6946,9.1909,0.20792454800000004,0.0,0.0
23,855,41.6884,9.2863,0.5750400000000003,0.0,0.0
24,856,41.682,9.3817,0.7450000000000001,0.0,0.0
25,993,41.7905,8.8171,0.5157437140000002,0.0,0.0
26,994,41.7845,8.9127,0.6385890000000001,0.0,0.0
27,995,41.7785,9.0083,0.20074235300000012,0.0,0.0
28,996,41.7724,9.1038,0.14607216,0.0,0.0
29,997,41.7661,9.1993,0.12210270800000014,0.0,0.0
30,998,41.7598,9.2948,0.379952254,0.0,0.0
31,1136,41.862,8.8251,0.6127790000000002,0.0,0.0
32,1137,41.856,8.9207,0.40128338400000013,0.0,0.0
33,1138,41.85,9.0164,0.44545244800000006,0.0,0.0
34,1139,41.8439,9.112,0.013149585836513293,0.0,0.0
35,1140,41.8376,9.2077,0.0,1.0,0.0
36,1141,41.8313,9.3033,0.4551282,0.0,0.0
37,1277,41.9452,8.6413,0.6460200000000001,0.0,0.0
